Wall time,Step,Value
1677515822.36691,1705984,-7.949326992034912
1677515823.6604955,1708032,-7.88840389251709
1677515826.489392,1712128,-7.426267147064209
1677515827.83447,1714176,-7.189676761627197
1677515829.3418705,1716224,-7.015371322631836
1677515832.1963644,1720320,-6.569817066192627
1677515833.493883,1722368,-6.46908712387085
1677515837.622491,1728512,-6.2549333572387695
1677515840.4380717,1732608,-6.1700286865234375
1677515847.294931,1742848,-5.880136013031006
1677515848.5998518,1744896,-5.850602626800537
1677515852.9142005,1751040,-5.771364212036133
1677515856.9593112,1757184,-5.802077293395996
1677515861.093054,1763328,-5.910196304321289
1677515863.8773556,1767424,-5.81707763671875
1677515867.945017,1773568,-5.789252758026123
1677515869.466573,1775616,-5.744683265686035
1677515874.8187013,1783808,-5.534165382385254
1677515876.3448343,1785856,-5.503307342529297
1677515894.3491442,1812480,-5.388111591339111
1677515895.6218798,1814528,-5.370360374450684
1677515897.140069,1816576,-5.366398334503174
1677515899.955079,1820672,-5.350239276885986
1677515902.6329973,1824768,-5.332338809967041
1677515905.397586,1828864,-5.305507659912109
1677515909.7938383,1835008,-5.288486480712891
1677515912.3781364,1839104,-5.2831711769104
1677515913.901678,1841152,-5.279733180999756
1677515917.992213,1847296,-5.304716110229492
1677515919.2706444,1849344,-5.307227611541748
1677515922.1110475,1853440,-5.291200160980225
1677515926.2157729,1859584,-5.336311340332031
1677515927.7490246,1861632,-5.356634140014648
1677515930.5264657,1865728,-5.415859699249268
1677515931.7815504,1867776,-5.409703731536865
1677515935.8010952,1873920,-5.3299150466918945
1677515941.3658462,1882112,-5.276382923126221
1677515942.6642566,1884160,-5.2657999992370605
1677515945.4657352,1888256,-5.258353233337402
1677515948.2489717,1892352,-5.241446495056152
1677515953.8884988,1900544,-5.2117204666137695
1677515955.1345017,1902592,-5.208145618438721
1677515957.9332743,1906688,-5.204389572143555
1677515959.1929677,1908736,-5.200994491577148
1677515960.7359135,1910784,-5.200462818145752
1677515962.0766587,1912832,-5.196000576019287
1677515964.8619876,1916928,-5.185525417327881
1677515970.3894517,1925120,-5.239745616912842
1677515972.8833354,1929216,-5.410721302032471
1677515974.4010782,1931264,-5.438086032867432
1677515978.4186554,1937408,-5.348761558532715
1677515983.976786,1945600,-5.307159423828125
1677515988.037893,1951744,-5.279446125030518
1677515992.1613472,1957888,-5.253303050994873
1677515993.4093637,1959936,-5.2462992668151855
1677515998.9891336,1968128,-5.227592945098877
1677516001.8310118,1972224,-5.269122123718262
1677516003.1093175,1974272,-5.272289276123047
1677516005.937187,1978368,-5.290005683898926
1677516008.7937622,1982464,-5.2465949058532715
1677516010.0563264,1984512,-5.246031761169434
1677516014.406867,1990656,-5.219749450683594
1677516021.241632,2000896,-5.2266526222229
1677516023.837359,2004992,-5.234375953674316
1677516025.350272,2007040,-5.218808650970459
1677516028.1183703,2011136,-5.211187362670898
1677516029.3862653,2013184,-5.211550235748291
1677516035.0149932,2021376,-5.2350172996521
1677516040.3471696,2029568,-5.203087329864502
1677516043.1531956,2033664,-5.193119049072266
1677516045.9447787,2037760,-5.188938617706299
1677516048.7452204,2041856,-5.179230690002441
1677516051.5677161,2045952,-5.175241947174072
1677516052.8654013,2048000,-5.172454357147217
1677516056.972855,2054144,-5.221937656402588
1677516058.5193737,2056192,-5.2591166496276855
1677516059.775055,2058240,-5.4089741706848145
1677516062.568893,2062336,-5.8722076416015625
1677516069.4635227,2072576,-5.9950456619262695
